Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product Bought Together (product.metafields.bls.bought_together),Countdown Timer (product.metafields.bls.countdown_timer),Custom product badge (product.metafields.bls.custom_product_badge),Information product tab (product.metafields.bls.information_product_tab),Short Description (product.metafields.bls.short_description),Add your name here (product.metafields.custom.add_your_name_here),Product grouped (product.metafields.custom.product_grouped),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Custom id identifier for product (product.metafields.kwik-cart.custom-id),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Low stock threshold (product.metafields.sam.lowstockthreshold),Hide product from search (product.metafields.seo.hidden),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / Intl Market,Price / Intl Market,Compare At Price / Intl Market,Status
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,Purple Kora Silk Certified Handloom Banarsi Kadwa Booti Three Piece Suit,"<table width=""355"">
<tbody>
<tr>
<td width=""355"">
<p>Purple Kora Silk certified  handloom  Banarsi kadwa booti meenakari 3 piece suit set</p>
<p>The dupatta is Kora   with Banarsi border</p>
<p>FABRIC: 2.5 MTRS METER</p>
<p>BOTTOM:2.5 MTS</p>
<p>DUPATTA: 2.5 MTRS * 35''</p>
<p>A SLIGHT DIFFERENCE IN SHADE COULD BE DUE TO THE CAMERA &amp; LIGHTS.</p>
<p>EMBRACE THE IMPERFECTION !! HAPPY HANDLOOM</p>
<p>DRY CLEAN ONLY</p>
</td>
</tr>
</tbody>
</table>",Weavekala,,"","Ajrakh, Handblock, LINEN, Silk",true,Title,Default Title,,,,,,,,,490.0,shopify,1,deny,manual,12999.00,,true,true,,,,,85027098,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/8FDAF2BA-ADF2-4C6F-B75D-18C36F35C03B.jpg?v=1779602810,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2500.00,true,,,true,,,true,,,active
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/484A4CAE-D5FE-4E65-AC29-AA459B2C624E.jpg?v=1779602810,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/7E6AD76F-F3B1-4142-BFF4-62B3842E1DEF.jpg?v=1779602810,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/3AB73BD3-E4C8-4C75-B93F-19B436587477.jpg?v=1779602810,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/FAF98E55-A797-4BA6-B1A1-C9EA578EAC96.jpg?v=1779602810,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/5C6E7FBA-4BF2-4E0C-A7E8-AB2BDCBC8B17.jpg?v=1779602812,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,Genesis Burgundy Kora Silk Certified Handloom Banarsi Kadwa Booti Three Piece Suit,"<table width=""355"">
<tbody>
<tr>
<td width=""355"">
<p>Genesis  Burgundy Kora Silk certified  handloom  Banarsi kadwa booti meenakari 3 piece suit set</p>
<p>The dupatta is Kora   with Banarsi border</p>
<p>FABRIC: 2.5 MTRS METER</p>
<p>BOTTOM:2.5 MTS</p>
<p>DUPATTA: 2.5 MTRS * 35''</p>
<p>A SLIGHT DIFFERENCE IN SHADE COULD BE DUE TO THE CAMERA &amp; LIGHTS.</p>
<p>EMBRACE THE IMPERFECTION !! HAPPY HANDLOOM</p>
<p>DRY CLEAN ONLY</p>
</td>
</tr>
</tbody>
</table>",Weavekala,,"","Ajrakh, Handblock, LINEN, Silk",true,Title,Default Title,,,,,,,,,490.0,shopify,2,deny,manual,12999.00,,true,true,,,,,77981978,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/38736A93-2B5D-4420-B751-D0E2E55BB369.jpg?v=1779602216,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2500.00,true,,,true,,,true,,,active
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/DFC507D5-37D2-4257-AB1D-26F48AFB18B6.jpg?v=1779602216,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/A90620AC-181E-40C0-B0E2-07AD611D4826.jpg?v=1779602216,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genesis-burgundy-kora-silk-certified-handloom-banarsi-kadwa-booti-three-piece-suit-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/6737D15B-1073-47A0-920A-C8ADB288F072.jpg?v=1779602216,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
